wage,edu,exp,city,reg,race,deg,com,emp
189.93,12,28,no,northeast,white,no,9.1,160
332.38,12,2,no,northeast,white,no,6,147
474.83,12,22,yes,northeast,white,no,17.7,101
275.81,11,2,yes,northeast,other,no,31.7,134
522.32,14,10,yes,northeast,other,no,15.3,140
356.13,12,47,no,northeast,white,no,5.7,33
546.06,12,24,no,northeast,other,no,20.8,148
444.06,12,41,no,northeast,white,no,6.4,200
569.8,8,36,yes,northeast,other,no,14.8,191
555.56,12,26,no,northeast,white,no,0.3,176
308.64,12,11,no,northeast,white,no,1.9,30
474.83,16,18,no,northeast,other,yes,26.8,133
237.42,12,7,no,northeast,white,no,3.2,115
302.59,12,4,no,northeast,white,no,18.3,73
262.3,12,2,no,northeast,white,no,6.7,98
430.03,8,40,no,northeast,white,no,3.9,112
441.26,12,43,no,northeast,white,no,16.9,289
261.16,9,43,no,northeast,white,no,10.2,179
237.42,12,11,no,northeast,other,no,8.5,27
1610.31,12,19,no,northeast,white,no,27.3,30
1047.01,16,14,no,northeast,white,yes,12.5,79
949.67,17,17,no,northeast,white,yes,8.4,9
1020.89,18,17,no,northeast,other,yes,23.6,177
688.51,18,16,no,northeast,other,no,3,118
664.77,16,6,yes,northeast,white,yes,0.7,118
759.73,12,13,yes,northeast,other,no,24.5,285
641.03,12,16,yes,northeast,other,no,15.8,113
379.87,10,12,yes,northeast,white,no,17,66
246.91,10,18,yes,northeast,other,no,13,226
496.51,12,15,yes,northeast,white,no,25,146
651.11,8,33,no,northeast,white,no,14.1,58
352.73,12,44,no,northeast,white,no,15.1,35
493.83,12,19,no,northeast,other,no,5.9,116
474.83,14,46,no,northeast,white,no,5.9,68
878.44,18,16,yes,northeast,other,yes,14.6,39
1025.64,16,29,yes,northeast,other,no,3.1,60
356.13,14,4,yes,northeast,white,no,33.3,105
197.53,10,8,yes,northeast,white,no,0.8,10
641.03,13,27,no,northeast,white,no,18.2,121
284.9,12,15,no,northeast,white,no,3.8,102
493.83,12,6,no,northeast,white,no,8.2,124
807.22,12,41,no,northeast,white,no,1,82
1044.63,12,39,no,northeast,white,no,20.8,91
346.63,14,28,yes,northeast,white,no,25.6,99
498.58,12,10,no,northeast,white,no,8.4,53
261.16,12,22,no,northeast,white,no,11.9,40
587.89,18,14,no,northeast,other,no,9.6,190
569.8,12,29,no,northeast,other,no,13.3,67
612.73,15,22,no,northeast,other,no,20.4,212
227.92,12,27,no,northeast,white,no,22,121
71.23,12,1,no,northeast,other,no,12,103
1685.66,18,14,yes,northeast,other,yes,8.2,101
949.67,17,17,yes,northeast,white,yes,12,75
166.19,11,22,yes,northeast,white,no,10.7,120
593.54,14,18,yes,northeast,other,no,5.1,93
783.48,16,20,yes,northeast,white,no,30.8,134
902.18,12,16,yes,northeast,white,no,1.3,165
427.35,12,14,yes,northeast,white,no,5.2,56
783.48,12,25,yes,northeast,white,no,7,104
308.64,13,-1,yes,northeast,white,no,10.8,80
688.51,12,17,no,northeast,white,no,12.2,121
302.47,12,28,no,northeast,white,no,10.9,57
617.28,12,20,no,northeast,white,no,19.4,116
641.03,14,20,no,northeast,other,no,0.3,63
202.47,16,17,no,northeast,white,no,12.4,160
546.06,12,9,no,northeast,white,no,2.9,141
782.9,12,18,no,northeast,white,no,10.4,120
854.7,14,20,no,northeast,white,no,13.5,141
759.73,16,17,no,northeast,white,no,24.9,98
661.38,14,-1,no,northeast,white,no,12.1,190
332.38,15,3,no,northeast,other,no,6.1,71
735.49,5,37,no,northeast,other,no,11.8,250
664.77,10,7,no,northeast,white,no,1.3,81
688.51,12,36,no,northeast,other,no,29.6,234
637.71,12,38,no,northeast,white,no,5.4,146
410.73,14,18,no,northeast,other,no,24.4,108
249.29,14,25,no,northeast,white,no,4.7,84
209.88,12,26,no,northeast,white,no,20.7,94
504.27,13,24,no,northeast,other,no,7.4,132
269.44,9,29,no,northeast,white,no,15.6,48
759.73,8,43,no,northeast,other,no,16.6,11
338.32,12,24,no,northeast,white,no,14.1,181
807.22,12,37,no,northeast,white,no,19.5,25
332.38,12,20,no,northeast,other,no,5.3,115
846.98,18,15,no,northeast,white,yes,25.3,151
707.5,13,28,no,northeast,other,no,15.7,50
653.59,16,36,no,northeast,other,no,24.3,63
391.74,12,14,no,northeast,white,no,4.5,139
395.06,14,2,no,northeast,white,no,0.4,143
378.09,12,0,no,northeast,white,no,15,112
379.87,12,12,no,northeast,white,no,7.5,34
256.41,12,20,no,northeast,white,no,14.1,165
318,12,27,no,northeast,white,no,7.6,122
522.32,12,17,no,northeast,white,no,16.1,148
284.9,12,6,no,northeast,white,no,15.7,80
254.63,16,3,no,northeast,white,yes,22.3,82
458.21,16,6,no,northeast,white,yes,1.7,141
142.45,12,11,no,northeast,white,no,14,119
664.77,15,20,no,northeast,other,no,27.1,116
997.15,16,17,yes,northeast,other,yes,9.7,171
474.83,16,1,yes,northeast,white,yes,15.9,74
432.1,12,19,yes,northeast,other,no,12.1,86
593.54,16,9,yes,northeast,white,yes,22.9,57
402.68,8,47,no,northeast,white,no,5.8,36
474.36,12,14,no,northeast,white,no,20.1,138
356.13,12,8,no,northeast,other,no,9.1,125
186.45,8,9,yes,northeast,white,no,16.5,61
581.67,17,24,no,northeast,white,yes,14.7,144
338.9,14,14,no,northeast,white,no,7.1,160
541.31,15,23,no,northeast,white,no,10.2,169
546.06,12,19,no,northeast,white,no,0.7,55
189.93,12,16,no,northeast,other,no,11.5,77
451.09,12,3,no,northeast,white,no,9.2,160
379.87,16,18,no,northeast,other,no,8,180
284.9,12,8,no,northeast,other,no,9.3,112
626.78,18,11,no,northeast,other,yes,5.9,117
1590.69,18,23,no,northeast,white,no,1.5,62
374.53,9,40,no,northeast,white,no,4.6,98
807.22,12,19,no,northeast,white,no,22.8,143
158.25,13,18,no,northeast,white,no,12.9,227
997.15,12,8,no,northeast,white,no,5.9,113
925.93,12,11,no,northeast,white,no,26.3,180
830.96,12,10,no,northeast,white,no,4.1,57
439.22,12,11,yes,northeast,other,no,6.5,20
498.58,12,7,yes,northeast,white,no,24.1,250
493.83,11,45,no,northeast,white,no,3.7,85
332.38,15,18,no,northeast,white,no,3.6,177
166.19,18,16,no,northeast,white,no,1.9,106
261.16,12,6,yes,northeast,white,no,4.4,123
207.82,8,55,no,northeast,white,no,23.7,229
334.36,12,38,no,northeast,white,no,17.1,206
498.53,15,19,no,northeast,white,no,17.6,61
322.06,8,35,yes,northeast,white,no,2.8,183
807.22,14,5,yes,northeast,white,no,27.7,79
474.83,12,14,yes,northeast,other,no,15.9,77
629.39,16,11,yes,northeast,white,no,8,130
377.49,9,20,yes,northeast,white,no,12.2,99
587.89,16,19,yes,northeast,white,yes,10.6,76
997.15,16,19,yes,northeast,white,no,17.8,90
474.83,14,5,yes,northeast,white,no,25.5,58
403.61,13,12,yes,northeast,white,no,12.1,49
569.8,13,5,no,northeast,white,no,24.4,358
878.44,14,24,no,northeast,white,no,7.6,28
593.54,12,48,no,northeast,white,no,6.3,20
484.14,12,21,yes,northeast,white,no,0.1,134
617.28,10,35,yes,northeast,white,no,14.6,149
1187.08,16,19,yes,northeast,white,no,13.5,66
878.44,12,35,yes,northeast,white,no,1.9,98
593.54,12,7,yes,northeast,white,no,28.1,165
617.28,8,44,no,northeast,white,no,27,31
320.51,16,8,no,northeast,other,no,29.7,273
427.35,10,10,no,northeast,white,no,6.3,88
546.06,16,12,no,northeast,white,no,19.2,173
422.08,10,43,no,northeast,white,no,30.3,87
475.64,8,44,yes,northeast,white,no,24.4,137
213.68,16,8,no,northeast,white,no,16.4,250
246.91,16,4,no,northeast,other,yes,3.6,130
185.19,12,5,no,northeast,white,no,7.2,28
409.54,16,19,no,northeast,white,no,2.9,149
303.03,18,33,no,northeast,white,no,2.9,107
493.83,12,16,no,northeast,white,no,16.2,227
593.54,10,12,no,northeast,other,no,15.8,318
118.71,16,1,yes,northeast,white,yes,10.5,23
682.57,18,20,yes,northeast,white,yes,1.6,159
1115.86,18,17,yes,northeast,other,no,2.3,167
648.46,13,26,yes,northeast,white,no,2.7,74
354.94,12,4,yes,northeast,white,no,24.5,89
370.37,10,8,no,northeast,white,no,1.5,200
569.8,12,9,no,northeast,white,no,15.2,34
673.4,16,24,yes,northeast,white,no,3.5,42
807.22,14,19,yes,northeast,white,no,14.6,89
997.15,14,28,no,northeast,other,no,21.1,110
691.38,12,16,no,northeast,white,no,10.5,73
498.58,12,7,no,northeast,white,no,7.8,31
522.32,12,34,yes,northeast,white,no,4.8,98
420.23,12,8,yes,northeast,other,no,4.6,239
415.48,12,5,yes,northeast,white,no,13.5,177
305.27,12,9,yes,northeast,white,no,24.8,23
308.95,13,33,yes,northeast,white,no,11.3,57
1471.89,12,1,yes,northeast,white,no,21.2,143
720.16,12,21,no,northeast,white,no,10.2,127
439.22,12,9,no,northeast,white,no,25.8,51
735.99,12,10,no,northeast,white,no,10.1,225
805.15,12,29,no,northeast,white,no,7.7,36
1608.88,18,38,no,northeast,white,yes,1.9,35
830.96,12,12,no,northeast,white,no,10.5,158
448.72,12,4,no,northeast,white,no,2.3,251
949.67,12,38,yes,northeast,other,no,22.7,216
439.22,12,19,yes,northeast,other,no,11.4,100
771.6,12,17,yes,northeast,white,no,9.6,76
478.4,12,18,yes,northeast,white,no,3.2,198
1185.19,12,24,yes,northeast,white,no,13.6,69
1068.38,17,4,yes,northeast,other,yes,21.2,117
474.83,13,8,yes,northeast,other,no,8.1,144
434.22,11,48,yes,northeast,white,no,11.1,234
363.25,12,5,yes,northeast,white,no,9.4,293
498.58,12,36,yes,northeast,white,no,14.8,198
1305.79,12,13,yes,northeast,white,no,8.7,118
451.09,12,10,yes,northeast,white,no,10.7,174
593.54,16,10,yes,northeast,white,yes,11.9,359
555.56,9,33,yes,northeast,white,no,2.1,103
629.88,14,15,yes,northeast,white,no,3.2,135
479.77,12,38,no,northeast,white,no,19.2,23
854.7,17,25,no,northeast,other,no,16.1,147
546.06,14,15,no,northeast,white,no,22,116
338.32,13,9,no,northeast,white,no,14.2,104
925.93,16,9,no,northeast,white,yes,9.6,72
356.13,12,10,no,northeast,white,no,0.3,208
1208.85,12,18,yes,northeast,white,no,12.3,46
1139.6,14,29,yes,northeast,white,no,3.8,31
498.58,10,7,yes,northeast,other,no,14.1,93
546.06,14,3,no,northeast,white,no,5.9,161
1543.21,12,28,yes,northeast,white,no,32,165
617.28,16,2,yes,northeast,white,no,0.1,191
807.22,16,12,yes,northeast,white,yes,3.9,122
891.07,16,4,yes,northeast,white,no,14.4,59
538.94,16,4,yes,northeast,white,yes,3.4,68
944.92,12,11,yes,northeast,other,no,17.5,150
1187.08,7,33,yes,northeast,other,no,10.1,213
854.7,8,24,yes,northeast,white,no,7.5,161
493.83,11,24,yes,northeast,white,no,14.3,135
783.48,14,16,yes,northeast,other,no,9,181
624.41,16,7,yes,northeast,white,yes,28.7,57
1092.12,16,17,yes,northeast,other,yes,1.9,151
688.51,16,10,yes,northeast,white,yes,27.8,120
498.58,14,6,yes,northeast,white,no,1.5,142
676.64,16,10,yes,northeast,other,yes,4.5,44
432.1,13,2,yes,northeast,white,no,5.1,159
1507.6,17,20,yes,northeast,white,yes,12.2,154
233.99,12,1,yes,northeast,white,no,11.7,65
1115.86,18,9,yes,northeast,white,yes,20.7,231
423.63,12,7,yes,northeast,white,no,0.4,90
949.67,18,8,yes,northeast,white,yes,17.3,69
586.42,13,4,yes,northeast,other,no,9.8,56
296.77,12,28,yes,northeast,white,no,11.2,28
1305.79,12,19,yes,northeast,white,no,4.8,81
642.21,12,11,yes,northeast,white,no,20.6,143
1371.74,17,7,yes,northeast,white,yes,3.3,122
830.96,17,9,yes,northeast,white,yes,4.2,70
498.58,2,14,yes,northeast,white,no,28.7,97
997.15,12,20,yes,northeast,white,no,32.7,69
213.68,12,17,yes,northeast,white,no,19.6,70
1305.79,16,6,yes,northeast,white,no,12.3,108
498.58,14,7,yes,northeast,other,no,19.5,254
569.8,17,8,yes,northeast,white,yes,19.9,109
474.83,16,12,yes,northeast,white,no,3.3,121
949.67,17,9,yes,northeast,other,no,7.1,120
415.48,12,27,yes,northeast,other,no,11.3,58
664.77,17,8,yes,northeast,white,yes,5.5,163
1167.62,14,24,yes,northeast,white,no,24.4,159
316.87,12,0,yes,northeast,white,no,17.5,137
451.09,12,7,no,northeast,white,no,12.9,176
356.13,10,40,no,northeast,other,no,22.8,132
569.8,12,31,no,northeast,white,no,3,32
308.64,12,2,no,northeast,white,no,17.1,349
733.62,16,34,no,northeast,other,no,6.7,35
830.96,12,22,no,northeast,white,no,8.6,164
902.18,6,42,no,northeast,white,no,11.9,322
593.54,12,12,no,northeast,white,no,5.9,204
222.22,11,1,no,northeast,white,no,8.9,229
286.76,12,3,no,northeast,white,no,14.2,99
434.33,11,15,no,northeast,other,no,1.3,63
322.72,8,23,no,northeast,other,no,14.6,73
332.38,12,5,no,northeast,white,no,12.7,219
296.77,12,4,no,northeast,white,no,39.5,182
218.42,12,4,no,northeast,white,no,4.3,133
636.28,14,13,no,northeast,white,no,7.5,128
546.06,9,37,no,northeast,white,no,22.4,332
700.38,14,7,no,northeast,white,no,15,115
546.06,12,15,yes,northeast,white,no,3.7,125
451.09,14,4,yes,northeast,white,no,5.2,96
451.09,12,12,no,northeast,white,no,15.8,112
1241.69,16,22,yes,northeast,white,yes,8.1,39
321.5,15,1,yes,northeast,white,no,9.8,79
807.22,12,4,yes,northeast,other,no,4.9,158
692.81,16,13,yes,northeast,white,yes,6.4,7
474.83,18,9,yes,northeast,white,yes,30.8,85
379.87,10,40,yes,northeast,white,no,3.5,75
617.28,12,39,yes,northeast,other,no,16.8,176
498.58,12,41,yes,northeast,white,no,6,321
569.8,8,40,yes,northeast,white,no,4.8,169
821.46,16,8,yes,northeast,other,yes,8.7,74
522.32,12,3,yes,northeast,white,no,14.6,48
522.32,12,8,yes,northeast,white,no,12.5,77
522.32,12,5,yes,northeast,white,no,22.3,141
508.07,14,14,yes,northeast,white,no,6.4,168
830.96,12,49,yes,northeast,other,no,17.4,100
1185.19,12,11,yes,northeast,white,no,7.7,20
641.03,12,11,yes,northeast,white,no,7.6,183
807.41,18,5,no,northeast,white,yes,25.5,269
973.41,18,23,yes,northeast,other,no,10,41
756.58,16,12,no,northeast,other,yes,13.3,304
641.03,14,24,no,northeast,white,no,16,129
821.39,13,35,no,northeast,other,no,10.5,131
351.08,12,2,no,northeast,white,no,0.9,32
356.13,8,9,yes,northeast,white,no,9.5,90
796.51,16,14,yes,northeast,white,yes,7.8,95
728.4,16,3,yes,northeast,white,yes,6.5,152
569.8,15,4,yes,northeast,white,no,13.2,175
820.62,14,13,yes,northeast,white,no,3.1,137
854.7,13,8,yes,northeast,white,no,4.5,169
902.18,14,10,yes,northeast,white,no,23.6,138
1020.89,16,18,yes,northeast,white,yes,11.6,138
688.51,16,36,yes,northeast,white,yes,5.6,116
593.54,12,10,no,northeast,white,no,24.3,135
472.44,11,20,no,northeast,white,no,9.3,219
457.67,12,25,no,northeast,white,no,27.6,92
878.44,12,15,no,northeast,white,no,24.2,199
452.49,11,14,no,northeast,white,no,26,51
546.06,13,27,no,northeast,white,no,5,132
310.28,10,27,no,northeast,white,no,8.2,190
569.8,12,7,yes,northeast,white,no,17,203
807.22,16,3,yes,northeast,white,yes,16.2,208
830.96,16,10,yes,northeast,white,yes,5.3,185
807.22,14,29,yes,northeast,white,no,2,45
92.59,12,25,yes,northeast,other,no,13.1,78
546.06,14,9,yes,northeast,other,no,4,145
830.96,12,7,yes,northeast,white,no,1.6,313
759.73,14,29,yes,northeast,white,no,1.7,141
617.28,14,-1,yes,northeast,white,no,17,7
1471.98,16,37,yes,northeast,white,no,29.8,32
1163.34,14,27,yes,northeast,white,no,12.7,17
241.55,17,13,yes,northeast,white,yes,9.6,122
759.73,12,17,no,northeast,white,no,9,164
1128.75,12,34,no,northeast,white,no,0.2,84
757.58,16,7,no,northeast,other,yes,6.7,41
180.04,12,2,no,northeast,white,no,12.8,43
607.05,7,41,no,northeast,white,no,1.8,123
427.35,14,16,no,northeast,white,no,5.3,241
308.64,14,-1,no,northeast,white,no,1,89
2029.91,14,18,yes,northeast,white,no,18.3,154
900.21,14,19,no,northeast,white,no,2.2,105
735.99,12,20,no,northeast,white,no,7.5,167
546.06,16,2,no,northeast,white,no,11.2,144
403.61,11,27,no,northeast,white,no,8.2,115
688.51,12,11,no,northeast,white,no,3.9,88
237.42,18,15,no,northeast,white,no,9.6,68
385.8,11,2,no,northeast,white,no,0.3,168
1210.83,12,16,yes,northeast,white,no,3.9,181
1495.73,18,20,yes,northeast,white,yes,4.5,172
94.97,8,14,yes,northeast,white,no,1.4,198
467.71,12,12,no,northeast,white,no,16.1,225
1187.08,16,33,no,northeast,white,yes,6.5,91
422.6,14,17,no,northeast,white,no,25.5,291
997.15,14,16,no,northeast,white,no,0.9,28
949.67,16,38,yes,northeast,white,no,5.8,188
1234.57,15,4,yes,northeast,other,no,2.8,236
937.1,12,23,yes,northeast,white,no,21.7,171
534.19,16,3,yes,northeast,white,no,14,44
641.03,14,13,yes,northeast,white,no,25.2,71
593.54,14,11,yes,northeast,white,no,13.8,116
890.41,12,32,no,northeast,white,no,12.2,71
536.89,12,42,no,northeast,white,no,0,40
593.54,8,32,yes,northeast,white,no,2.6,90
370.37,12,25,yes,northeast,white,no,8,42
344.25,14,1,yes,northeast,white,no,4.4,99
237.42,12,4,yes,northeast,white,no,23.6,91
593.54,14,16,yes,northeast,white,no,4.9,69
280.15,12,31,yes,northeast,white,no,28.9,81
973.41,12,44,yes,northeast,white,no,9.2,111
1127.73,17,15,yes,northeast,other,yes,11.3,56
1163.34,12,17,yes,northeast,other,no,6.5,170
735.99,16,18,yes,northeast,white,yes,21.8,71
332.38,12,3,no,northeast,white,no,3.6,58
556.77,10,43,no,northeast,white,no,18.6,56
259.26,9,11,no,northeast,other,no,2.2,133
274.35,10,8,yes,northeast,white,no,16.1,250
296.3,10,41,yes,northeast,white,no,3.3,99
641.03,12,12,no,northeast,other,no,8.4,186
407.31,8,45,no,northeast,white,no,1.8,71
222.22,10,25,no,northeast,other,no,7,157
130.58,8,38,no,northeast,white,no,3.8,104
284.9,8,46,no,northeast,white,no,4.9,112
399.42,12,23,no,northeast,white,no,4.6,49
315.74,12,3,no,northeast,white,no,2.6,168
688.51,12,12,no,northeast,white,no,8.9,116
379.87,16,9,no,northeast,white,yes,8.4,89
580.97,16,-1,no,northeast,white,yes,28.6,178
419.75,18,41,no,northeast,white,no,14,231
427.35,12,12,no,northeast,white,no,18.5,142
448.72,16,20,no,northeast,other,no,22.3,97
997.15,14,13,no,northeast,white,no,3.5,69
874.49,16,16,no,northeast,white,no,8.3,207
686.73,10,17,no,northeast,other,no,3.4,211
166.19,9,8,no,northeast,other,no,22.2,143
1234.57,14,16,yes,northeast,white,no,10.8,21
451.09,12,15,yes,northeast,white,no,7.9,82
493.83,12,16,no,northeast,other,no,18.5,248
401.23,12,8,no,northeast,other,no,4.4,295
500.95,14,24,no,northeast,white,no,4.6,110
617.28,12,12,no,northeast,white,no,3,267
293.21,12,2,no,northeast,other,no,22.2,78
3600.82,18,27,yes,northeast,white,yes,9.5,103
474.83,16,4,yes,northeast,white,no,20.7,112
471.79,12,4,yes,northeast,white,no,8.7,30
1816.24,16,30,yes,northeast,other,yes,20.4,133
1448.24,13,32,yes,northeast,other,no,16.3,206
356.13,12,1,yes,northeast,white,no,0.9,30
474.83,12,4,yes,northeast,white,no,2.3,113
925.93,6,33,no,northeast,white,no,14.9,121
522.32,18,32,no,northeast,white,yes,5.3,155
517.19,12,26,yes,northeast,white,no,0,290
776.64,12,21,yes,northeast,white,no,7.8,193
854.7,12,13,yes,northeast,white,no,14,6
584.05,12,14,yes,northeast,white,no,8.6,89
657.64,12,34,yes,northeast,white,no,0.3,77
174.85,12,0,yes,northeast,white,no,9.7,63
819.09,17,3,no,northeast,other,yes,32.1,131
522.32,12,15,no,northeast,white,no,14.4,92
811.32,12,17,yes,northeast,white,no,29.5,82
427.35,17,2,yes,northeast,other,yes,15,119
783.48,17,14,yes,northeast,white,no,8.7,81
451.09,15,19,no,northeast,white,no,5.8,154
1044.63,12,26,yes,northeast,white,no,16.3,66
1139.6,18,13,yes,northeast,white,yes,25.1,201
206.55,12,0,yes,northeast,white,no,7,75
1115.86,18,26,yes,northeast,white,yes,15.5,40
458.55,16,10,yes,northeast,other,no,14.1,156
628.82,13,17,yes,northeast,other,no,20.7,70
524.69,12,22,yes,northeast,white,no,10.4,86
707.5,12,24,no,northeast,white,no,24.8,96
474.83,12,14,no,northeast,other,no,15.2,92
830.96,16,16,no,northeast,white,yes,2.8,48
688.51,16,3,no,northeast,other,no,12.3,264
352.73,12,16,yes,northeast,other,no,8.7,254
783.48,14,27,yes,northeast,white,no,12.2,25
854.7,12,4,no,northeast,white,no,6.5,239
498.58,10,37,no,northeast,white,no,28,202
1270.18,16,22,no,northeast,other,yes,18,84
745.01,18,21,no,northeast,white,yes,15.6,52
627.57,15,-1,no,northeast,white,no,11.6,156
356.13,12,13,no,northeast,white,no,0.1,115
314.69,18,11,no,northeast,other,yes,4.4,37
385.3,8,47,no,northeast,white,no,11.9,68
166.19,11,17,no,northeast,other,no,18,70
641.03,16,15,no,northeast,white,yes,16.7,64
436.59,14,8,no,northeast,white,no,3.6,78
222.22,12,48,yes,northeast,white,no,8.9,173
997.15,12,31,yes,northeast,white,no,9.3,47
474.83,11,14,yes,northeast,white,no,25,285
451.09,12,17,no,northeast,white,no,2.2,45
366.74,13,15,no,northeast,other,no,2,130
336.7,14,19,no,northeast,white,no,19.6,29
213.58,12,48,no,northeast,white,no,7.1,47
394.11,12,6,no,northeast,white,no,0.1,173
902.18,12,17,no,northeast,white,no,8.2,73
1358.02,14,36,no,northeast,white,no,13.7,25
461.49,12,4,yes,northeast,white,no,8.3,145
636.02,12,40,no,northeast,other,no,3.5,63
510.45,15,19,yes,northeast,white,no,2.2,64
510.45,14,5,yes,northeast,white,no,0.9,200
276.95,14,19,no,northeast,white,no,18.8,153
666.67,12,22,yes,northeast,white,no,2.3,66
766.86,18,15,no,northeast,white,no,13.9,72
474.83,12,10,no,northeast,white,no,9.1,107
427.35,12,27,no,northeast,white,no,18.5,127
410.49,9,38,no,northeast,white,no,1.8,250
493.83,8,32,no,northeast,white,no,26.7,99
942.55,18,27,no,northeast,white,yes,5.2,95
522.32,16,14,no,northeast,white,no,7.5,193
522.32,12,10,no,northeast,other,no,23.4,106
338.9,12,2,no,northeast,white,no,3.3,190
1899.34,16,29,no,northeast,white,yes,5.4,202
997.63,16,11,yes,northeast,white,yes,12.7,53
617.28,12,17,yes,northeast,white,no,3.5,92
925.93,12,41,yes,northeast,other,no,10.8,166
854.7,12,40,no,northeast,white,no,3.3,54
617.28,16,-1,no,northeast,white,yes,9.7,27
754.99,12,17,no,northeast,white,no,20.2,49
427.35,18,19,yes,northeast,other,no,19.8,39
497.01,18,12,yes,northeast,white,yes,4.6,116
439.22,12,17,no,northeast,white,no,18.1,93
1305.79,12,28,no,northeast,white,no,1,104
593.54,12,9,yes,northeast,other,no,17,237
394.11,16,8,yes,northeast,white,no,14.4,58
365.73,13,21,no,northeast,white,no,1.9,82
724.51,18,19,no,northeast,white,yes,20.4,17
496.01,8,33,no,northeast,white,no,9.1,387
90.22,12,43,no,northeast,white,no,3.8,194
441.36,14,25,no,northeast,white,no,14.6,132
973.41,12,22,no,northeast,other,no,17.1,50
182.5,13,18,no,northeast,white,no,19.3,100
740.74,17,15,no,northeast,white,yes,26.8,143
411.7,12,19,no,northeast,white,no,7.7,252
178.06,16,3,no,northeast,white,yes,21.1,40
107.19,16,3,no,northeast,white,yes,11.3,209
498.58,12,34,no,northeast,white,no,12.3,317
356.13,14,8,no,northeast,white,no,28.3,83
641.03,16,17,no,northeast,other,yes,20.7,116
2374.15,16,8,no,northeast,white,yes,8.4,89
216.05,15,17,no,northeast,white,no,11.6,306
1020.29,18,2,no,northeast,white,no,11,169
261.16,16,3,no,northeast,white,yes,6,37
522.32,10,26,no,northeast,white,no,6.1,243
546.06,16,37,no,northeast,white,yes,6.3,92
617.28,18,16,no,northeast,white,no,9.7,164
474.83,11,15,no,northeast,white,no,8.1,17
498.58,18,21,no,northeast,white,yes,20.3,105
498.58,14,4,no,northeast,white,no,28.1,174
439.22,14,2,no,northeast,white,no,0.7,20
498.58,12,31,no,northeast,white,no,0.6,223
308.64,12,6,no,northeast,white,no,13.6,106
474.83,12,4,no,northeast,other,no,36.5,208
498.58,14,6,yes,northeast,white,no,5.4,87
498.58,14,5,yes,northeast,white,no,11.9,200
